miRNA;X70459.miRNAcount;X70460.miRNAcount;X70461.miRNAcount;X74665.miRNAcount;X74666.miRNAcount;X74667.miRNAcount;X74668.miRNAcount;X74669.miRNAcount;X74670.miRNAcount;X74671.miRNAcount;X74672.miRNAcount;X74673.miRNAcount;X74674.miRNAcount;X74675.miRNAcount;X74676.miRNAcount;X74677.miRNAcount;X74678.miRNAcount;X74679.miRNAcount;X74680.miRNAcount;X74681.miRNAcount;X74682.miRNAcount
*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-let-7a-2-3p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-let-7a-3p;0;0;0;2;0;9;0;1;1;2;0;0;0;11;0;8;0;5;0;3;1
hsa-let-7a-5p;75;10468;247;511;26;3882;310;97;865;6214;8;625;260;6589;77;7195;283;568;1046;115;686
hsa-let-7b-3p;0;0;0;1;0;2;1;0;0;3;0;2;2;4;0;10;0;4;0;0;0
hsa-let-7b-5p;177;9809;535;1795;53;7747;847;516;1206;12883;55;662;962;5187;893;18073;1106;2648;4208;1204;1300
hsa-let-7c-3p;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
hsa-let-7c-5p;6;334;15;10;2;90;29;6;33;136;0;9;15;70;4;163;22;28;67;11;52
hsa-let-7d-3p;0;26;2;21;5;98;15;4;13;143;1;24;12;148;7;753;11;48;32;7;12
hsa-let-7d-5p;4;619;23;380;15;1493;219;37;593;2468;8;328;152;2098;37;1520;218;543;464;102;61
hsa-let-7e-3p;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
hsa-let-7e-5p;1;49;1;2;0;31;4;0;19;147;0;8;3;46;2;166;11;13;22;3;17
hsa-let-7f-1-3p;0;0;0;1;0;2;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0
hsa-let-7f-2-3p;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0
hsa-let-7f-5p;27;4456;77;235;15;2299;173;69;313;5414;4;279;110;3514;34;6629;144;230;341;59;814
hsa-let-7g-3p;0;0;0;0;1;2;0;0;0;1;0;1;1;5;0;9;1;7;2;0;1
hsa-let-7g-5p;6;896;70;471;30;4164;232;31;248;2333;6;568;127;3037;32;5837;221;653;378;56;94
hsa-let-7i-3p;3;3;2;22;5;31;5;3;10;37;0;22;10;28;6;91;9;35;19;6;0
hsa-let-7i-5p;298;11873;1883;6590;522;26988;2371;1179;4505;46118;122;7492;2746;22692;1241;50109;4542;8734;3714;1652;2767
hsa-miR-1-3p;0;10;0;0;0;15;4;0;0;36;0;0;0;16;0;37;2;2;2;0;0
hsa-miR-1-5p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-miR-100-3p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-miR-100-5p;0;2;3;5;2;40;1;1;10;14;1;3;5;47;2;60;7;6;15;1;7
