gene	count
hsa-let-7a-5p	3882
hsa-let-7a-3p	9
hsa-let-7b-5p	7747
hsa-let-7b-3p	2
hsa-let-7c-5p	90
hsa-let-7c-3p	1
hsa-let-7d-5p	1493
hsa-let-7d-3p	98
hsa-let-7e-5p	31
hsa-let-7f-5p	2299
hsa-let-7f-1-3p	2
hsa-let-7f-2-3p	1
hsa-miR-15a-5p	1327
hsa-miR-15a-3p	4
hsa-miR-16-5p	220319
hsa-miR-16-1-3p	2
hsa-miR-17-5p	409
hsa-miR-17-3p	58
hsa-miR-18a-5p	195
hsa-miR-18a-3p	37
hsa-miR-19a-3p	802
hsa-miR-19b-1-5p	8
hsa-miR-19b-3p	2976
hsa-miR-20a-5p	1481
hsa-miR-20a-3p	1
hsa-miR-21-5p	7719
hsa-miR-21-3p	11
hsa-miR-22-5p	23
hsa-miR-22-3p	4278
hsa-miR-23a-5p	1
hsa-miR-23a-3p	2103
hsa-miR-24-3p	1107
hsa-miR-24-2-5p	1
hsa-miR-25-5p	16
hsa-miR-25-3p	10570
hsa-miR-26a-5p	4847
hsa-miR-26a-1-3p	2
hsa-miR-26b-5p	4758
hsa-miR-26b-3p	10
hsa-miR-27a-5p	3
hsa-miR-27a-3p	470
hsa-miR-28-5p	4
hsa-miR-28-3p	169
hsa-miR-29a-5p	4
hsa-miR-29a-3p	1260
hsa-miR-30a-5p	497
hsa-miR-30a-3p	7
hsa-miR-32-5p	192
hsa-miR-32-3p	1
hsa-miR-33a-5p	36
hsa-miR-92a-3p	24683
hsa-miR-93-5p	16123
hsa-miR-93-3p	34
hsa-miR-95-5p	1
hsa-miR-95-3p	20
hsa-miR-96-5p	103
hsa-miR-98-5p	77
hsa-miR-99a-5p	208
hsa-miR-99a-3p	1
hsa-miR-100-5p	40
hsa-miR-101-5p	1
hsa-miR-101-3p	2655
hsa-miR-29b-3p	295
hsa-miR-29b-2-5p	10
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	5425
hsa-miR-106a-5p	3
hsa-miR-107	7
hsa-miR-16-2-3p	3
hsa-miR-192-5p	1306
hsa-miR-196a-5p	2
hsa-miR-197-3p	89
hsa-miR-199a-5p	99
hsa-miR-208a-3p	1
hsa-miR-129-5p	9
hsa-miR-148a-5p	12
hsa-miR-148a-3p	3635
hsa-miR-30c-5p	238
hsa-miR-30c-2-3p	1
hsa-miR-30d-5p	2402
hsa-miR-30d-3p	9
hsa-miR-139-5p	15
hsa-miR-139-3p	41
hsa-miR-7-5p	1324
hsa-miR-7-1-3p	2
hsa-miR-10a-5p	242
hsa-miR-10a-3p	6
hsa-miR-10b-5p	314
hsa-miR-10b-3p	28
hsa-miR-34a-5p	106
hsa-miR-181a-5p	1719
hsa-miR-181a-2-3p	32
hsa-miR-181b-5p	133
hsa-miR-181c-5p	10
hsa-miR-181c-3p	1
hsa-miR-182-5p	538
hsa-miR-183-5p	117
hsa-miR-183-3p	2
hsa-miR-187-3p	1
hsa-miR-199b-5p	16
hsa-miR-203a-3p	118
hsa-miR-204-5p	4
hsa-miR-204-3p	8
hsa-miR-205-5p	269
hsa-miR-205-3p	1
hsa-miR-210-3p	76
hsa-miR-211-5p	1
hsa-miR-181a-3p	50
hsa-miR-214-5p	1
hsa-miR-214-3p	9
hsa-miR-215-5p	57
hsa-miR-216a-5p	3
hsa-miR-217-5p	2
hsa-miR-218-5p	6
hsa-miR-221-5p	3
hsa-miR-221-3p	4170
hsa-miR-222-3p	220
hsa-miR-223-5p	25
hsa-miR-223-3p	5423
hsa-miR-224-5p	132
hsa-miR-200b-3p	17
hsa-let-7g-5p	4164
hsa-let-7g-3p	2
hsa-let-7i-5p	26986
hsa-let-7i-3p	31
hsa-miR-1-3p	15
hsa-miR-15b-5p	953
hsa-miR-15b-3p	102
hsa-miR-23b-5p	1
hsa-miR-23b-3p	143
hsa-miR-27b-3p	443
hsa-miR-30b-5p	76
hsa-miR-30b-3p	1
hsa-miR-122-5p	24832
hsa-miR-122-3p	1
hsa-miR-125b-5p	796
hsa-miR-128-1-5p	4
hsa-miR-128-3p	428
hsa-miR-130a-3p	195
hsa-miR-132-5p	4
hsa-miR-132-3p	12
hsa-miR-133a-5p	2
hsa-miR-133a-3p	11
hsa-miR-135a-5p	3
hsa-miR-138-5p	2
hsa-miR-138-2-3p	1
hsa-miR-140-5p	440
hsa-miR-140-3p	175
hsa-miR-141-3p	153
hsa-miR-142-5p	3662
hsa-miR-142-3p	5643
hsa-miR-143-5p	22
hsa-miR-143-3p	981
hsa-miR-144-5p	194
hsa-miR-144-3p	9600
hsa-miR-145-5p	138
hsa-miR-145-3p	15
hsa-miR-152-3p	134
hsa-miR-191-5p	2437
hsa-miR-191-3p	10
hsa-miR-9-5p	3
hsa-miR-9-3p	1
hsa-miR-125a-5p	926
hsa-miR-125a-3p	7
hsa-miR-125b-2-3p	3
hsa-miR-126-5p	2665
hsa-miR-126-3p	11960
hsa-miR-127-3p	54
hsa-miR-134-5p	48
hsa-miR-136-5p	20
hsa-miR-136-3p	23
hsa-miR-146a-5p	3823
hsa-miR-150-5p	1144
hsa-miR-150-3p	4
hsa-miR-154-5p	1
hsa-miR-154-3p	2
hsa-miR-185-5p	9342
hsa-miR-185-3p	42
hsa-miR-186-5p	2340
hsa-miR-186-3p	6
hsa-miR-188-5p	4
hsa-miR-190a-5p	1105
hsa-miR-193a-5p	291
hsa-miR-194-5p	560
hsa-miR-195-5p	16
hsa-miR-206	17
hsa-miR-320a-3p	3044
hsa-miR-200c-3p	13
hsa-miR-155-5p	92
hsa-miR-106b-5p	164
hsa-miR-106b-3p	665
hsa-miR-29c-5p	37
hsa-miR-29c-3p	2889
hsa-miR-30c-1-3p	5
hsa-miR-200a-5p	1
hsa-miR-200a-3p	25
hsa-miR-101-2-5p	3
hsa-miR-34c-5p	2
hsa-miR-34c-3p	1
hsa-miR-301a-3p	162
hsa-miR-99b-5p	58
hsa-miR-99b-3p	1
hsa-miR-296-5p	20
hsa-miR-130b-5p	2
hsa-miR-130b-3p	52
hsa-miR-30e-5p	1782
hsa-miR-30e-3p	28
hsa-miR-26a-2-3p	2
hsa-miR-361-5p	307
hsa-miR-361-3p	168
hsa-miR-362-5p	26
hsa-miR-362-3p	1
hsa-miR-363-5p	1
hsa-miR-363-3p	1999
hsa-miR-376c-3p	9
hsa-miR-369-5p	1
hsa-miR-369-3p	3
hsa-miR-370-3p	12
hsa-miR-374a-5p	438
hsa-miR-374a-3p	11
hsa-miR-375-3p	429
hsa-miR-377-3p	21
hsa-miR-378a-5p	16
hsa-miR-378a-3p	791
hsa-miR-379-5p	7
hsa-miR-381-3p	44
hsa-miR-382-5p	103
hsa-miR-340-5p	127
hsa-miR-330-5p	7
hsa-miR-330-3p	1
hsa-miR-328-3p	141
hsa-miR-342-3p	1526
hsa-miR-337-5p	21
hsa-miR-323a-3p	3
hsa-miR-326	1
hsa-miR-151a-5p	61
hsa-miR-151a-3p	708
hsa-miR-148b-3p	2029
hsa-miR-331-3p	17
hsa-miR-324-5p	205
hsa-miR-324-3p	59
hsa-miR-338-3p	47
hsa-miR-339-5p	102
hsa-miR-339-3p	84
hsa-miR-335-5p	179
hsa-miR-335-3p	9
hsa-miR-345-5p	44
hsa-miR-196b-5p	145
hsa-miR-423-5p	6345
hsa-miR-423-3p	405
hsa-miR-424-5p	127
hsa-miR-424-3p	1
hsa-miR-425-5p	3570
hsa-miR-425-3p	41
hsa-miR-18b-5p	11
hsa-miR-20b-5p	361
hsa-miR-429	15
hsa-miR-449a	2
hsa-miR-450a-5p	2
hsa-miR-450a-1-3p	1
hsa-miR-431-5p	55
hsa-miR-431-3p	1
hsa-miR-433-3p	1
hsa-miR-451a	37029
hsa-miR-452-5p	2
hsa-miR-409-5p	2
hsa-miR-409-3p	27
hsa-miR-376b-3p	3
hsa-miR-483-5p	190
hsa-miR-483-3p	28
hsa-miR-484	882
hsa-miR-485-5p	2
hsa-miR-485-3p	10
hsa-miR-486-5p	70807
hsa-miR-486-3p	75
hsa-miR-487a-3p	1
hsa-miR-491-5p	19
hsa-miR-511-5p	2
hsa-miR-146b-5p	73
hsa-miR-146b-3p	7
hsa-miR-202-5p	2
hsa-miR-493-3p	6
hsa-miR-432-5p	51
hsa-miR-494-3p	3
hsa-miR-193b-5p	17
hsa-miR-193b-3p	2
hsa-miR-497-5p	12
hsa-miR-181d-5p	6
hsa-miR-512-3p	4
hsa-miR-515-5p	1
hsa-miR-518f-3p	1
hsa-miR-518b	1
hsa-miR-518d-3p	1
hsa-miR-516a-5p	1
hsa-miR-499a-5p	10
hsa-miR-500a-5p	9
hsa-miR-500a-3p	25
hsa-miR-501-5p	8
hsa-miR-501-3p	116
hsa-miR-502-3p	42
hsa-miR-503-5p	12
hsa-miR-504-5p	2
hsa-miR-505-5p	1
hsa-miR-505-3p	20
hsa-miR-532-5p	268
hsa-miR-532-3p	51
hsa-miR-455-5p	4
hsa-miR-539-3p	1
hsa-miR-545-5p	3
hsa-miR-545-3p	15
hsa-miR-487b-3p	3
hsa-miR-551a	5
hsa-miR-92b-5p	20
hsa-miR-92b-3p	23
hsa-miR-556-5p	1
hsa-miR-556-3p	2
hsa-miR-570-3p	1
hsa-miR-574-5p	1
hsa-miR-574-3p	59
hsa-miR-576-5p	92
hsa-miR-576-3p	17
hsa-miR-579-5p	3
hsa-miR-579-3p	8
hsa-miR-580-3p	3
hsa-miR-582-5p	5
hsa-miR-582-3p	9
hsa-miR-584-5p	252
hsa-miR-548a-3p	13
hsa-miR-548b-5p	1
hsa-miR-589-5p	32
hsa-miR-589-3p	3
hsa-miR-550a-5p	2
hsa-miR-550a-3p	31
hsa-miR-590-5p	3
hsa-miR-590-3p	14
hsa-miR-598-3p	32
hsa-miR-615-3p	1
hsa-miR-616-3p	1
hsa-miR-618	1
hsa-miR-624-5p	5
hsa-miR-625-5p	12
hsa-miR-625-3p	44
hsa-miR-627-5p	29
hsa-miR-628-5p	5
hsa-miR-628-3p	5
hsa-miR-629-5p	146
hsa-miR-33b-5p	7
hsa-miR-636	14
hsa-miR-643	2
hsa-miR-651-5p	24
hsa-miR-652-3p	67
hsa-miR-548d-5p	2
hsa-miR-548d-3p	1
hsa-miR-411-5p	5
hsa-miR-654-3p	8
hsa-miR-655-3p	1
hsa-miR-659-5p	3
hsa-miR-660-5p	175
hsa-miR-421	92
hsa-miR-542-5p	11
hsa-miR-542-3p	13
hsa-miR-758-3p	3
hsa-miR-671-5p	9
hsa-miR-671-3p	1
hsa-miR-1224-5p	1
hsa-miR-1224-3p	4
hsa-miR-320b	58
hsa-miR-320c	2
hsa-miR-1296-5p	4
hsa-miR-1468-5p	4
hsa-miR-1271-5p	2
hsa-miR-1301-3p	12
hsa-miR-454-5p	6
hsa-miR-454-3p	169
hsa-miR-769-5p	73
hsa-miR-769-3p	9
hsa-miR-766-5p	1
hsa-miR-766-3p	6
hsa-miR-378d	1
hsa-miR-1185-1-3p	2
hsa-miR-1298-5p	3
hsa-miR-450b-5p	14
hsa-miR-874-5p	1
hsa-miR-874-3p	15
hsa-miR-889-3p	3
hsa-miR-876-5p	1
hsa-miR-708-5p	1
hsa-miR-147b-5p	1
hsa-miR-147b-3p	3
hsa-miR-190b-5p	38
hsa-miR-744-5p	299
hsa-miR-885-5p	2
hsa-miR-877-3p	1
hsa-miR-887-3p	5
hsa-miR-873-5p	1
hsa-miR-873-3p	1
hsa-miR-374b-5p	23
hsa-miR-301b-3p	2
hsa-miR-208b-3p	6
hsa-miR-935	1
hsa-miR-939-5p	3
hsa-miR-941	75
hsa-miR-942-5p	46
hsa-miR-1179	4
hsa-miR-1180-3p	227
hsa-miR-1228-5p	1
hsa-miR-1234-3p	1
hsa-miR-548e-5p	2
hsa-miR-548e-3p	4
hsa-miR-548j-5p	13
hsa-miR-1285-3p	2
hsa-miR-1287-5p	49
hsa-miR-1289	1
hsa-miR-548k	9
hsa-miR-1294	37
hsa-miR-1299	38
hsa-miR-548l	2
hsa-miR-1303	3
hsa-miR-1246	1
hsa-miR-1247-5p	12
hsa-miR-1249-3p	14
hsa-miR-1250-5p	2
hsa-miR-548n	1
hsa-miR-548o-3p	2
hsa-miR-1270	7
hsa-miR-1277-5p	72
hsa-miR-1277-3p	37
hsa-miR-1284	1
hsa-miR-1292-5p	4
hsa-miR-1255b-5p	32
hsa-miR-664a-5p	21
hsa-miR-664a-3p	2
