"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-7-5p",934.56393355517,-5.19126905080067,0.827837648199357,-6.27087818739856,3.59017412224089e-10,2.04998942379955e-07
"hsa-miR-133a-3p",6.65176504734718,-4.22740006954757,1.13826661033515,-3.71389271297598,0.000204095347311376,0.0388461477715986
"hsa-miR-486-3p",25.9122406096157,-2.34677366247795,0.628671836858023,-3.73290725763486,0.00018928230288815,0.0388461477715986
"hsa-miR-210-3p",53.0423109251263,-2.64981515414996,0.800859487691552,-3.30871419378193,0.000937254612519666,0.107034476749746
"hsa-miR-769-3p",7.45223752387572,-2.99226649041103,0.902475138746025,-3.31562207305648,0.000914393951767677,0.107034476749746
"hsa-miR-206",9.54054007251939,-3.70777264146237,1.24941763715027,-2.96760068948542,0.00300133961079372,0.265374596844978
"hsa-miR-501-3p",27.927853464891,-1.64026561544149,0.55739514579756,-2.94273394342982,0.0032532787704288,0.265374596844978
"hsa-miR-874-3p",8.70879417314969,-2.25763045463501,0.796272534917752,-2.83524843019758,0.00457900626915716,0.326826572461093
"hsa-miR-185-3p",41.2110437582832,-2.04384971353219,0.736232532589019,-2.77609263793986,0.00550165301873604,0.349049319299809
"hsa-miR-22-3p",1507.16767481664,-1.88718346979364,0.698061876415858,-2.70346158922649,0.00686213785858856,0.377134516460712
"hsa-miR-320b",22.9038511250782,-2.04904540427003,0.763306513815244,-2.68443327442375,0.00726528840817483,0.377134516460712
"hsa-miR-10a-5p",49.8372338914521,-2.82872338495591,1.07136868181565,-2.64028941014224,0.00828352557057612,0.394157758399914
"hsa-miR-1307-5p",22.5203234584138,-2.18332362782519,0.842080221132701,-2.59277391041005,0.00952053348178095,0.418171124468994
"hsa-miR-378c",4.79435083418213,-2.91814298653314,1.17836323184932,-2.47643757685261,0.0132700828025131,0.505147818682332
"hsa-miR-4665-5p",1.27147177560051,-4.12512310508933,1.66134975915194,-2.48299497584124,0.0130282925138787,0.505147818682332
"hsa-miR-320a-3p",2068.91883522801,-1.97026723971345,0.806384267203911,-2.44333541692874,0.0145522053964757,0.519331830086725
"hsa-miR-129-5p",1.08457946475767,-3.24797216842028,1.38566178497686,-2.34398624803998,0.019078874845378,0.573370396668992
"hsa-miR-627-5p",9.71203491107041,-2.18681083218567,0.926239613445092,-2.36095584818702,0.0182279006302109,0.573370396668992
"hsa-miR-887-3p",3.23046333044205,-3.02721929486358,1.27654241323392,-2.37142085016557,0.0177198415174291,0.573370396668992
"hsa-miR-203a-3p",15.463849632834,-3.00584866802315,1.31641271545277,-2.28336344122087,0.0224089688753713,0.633714377830327
"hsa-miR-3613-3p",1.73774846130204,-3.05282629226542,1.34582201436203,-2.26837297925503,0.0233064832477003,0.633714377830327
