"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-7-5p",934.56393355517,-5.19127249783368,0.828225076356717,-6.2679489501448,3.65834667899386e-10,2.99252758341698e-07
"hsa-miR-133a-3p",6.65176504734718,-4.23517326135371,1.15550302244598,-3.66522040971271,0.000247125658898943,0.0673829296597786
"hsa-miR-486-3p",25.9122406096157,-2.34604172831893,0.626329398544093,-3.74569952132588,0.000179891806895996,0.0673829296597786
"hsa-miR-210-3p",53.0423109251263,-2.64983290623339,0.801582753823295,-3.30575089545593,0.000947222582571132,0.160646954103105
"hsa-miR-769-3p",7.45223752387572,-2.99164521450088,0.907756289139728,-3.29564801730654,0.000981949597207246,0.160646954103105
"hsa-miR-206",9.54054007251939,-3.70983522728756,1.26569345041221,-2.9310693091438,0.00337797406634704,0.39474039803884
"hsa-miR-501-3p",27.927853464891,-1.63525931510028,0.553444152713846,-2.95469616415982,0.00312977113473299,0.39474039803884
"hsa-miR-874-3p",8.70879417314969,-2.25761201906724,0.79814419034716,-2.82857664864449,0.00467555033586528,0.478075021842225
"hsa-miR-185-3p",41.2110437582832,-2.04390594907577,0.735893775579544,-2.77744698610355,0.00547877767990576,0.497960015795879
"hsa-miR-22-3p",1507.16767481664,-1.8871898179226,0.696580713188174,-2.70921916468967,0.0067441773372905,0.546454586149041
"hsa-miR-320b",22.9038511250782,-2.04881911629022,0.764305592138978,-2.68062819029809,0.0073484113051827,0.546454586149041
"hsa-miR-10a-5p",49.8372338914521,-2.82885790317216,1.07764295863536,-2.62504188470215,0.0086638308875069,0.590584472165054
"hsa-miR-1307-5p",22.5203234584138,-2.18291871496251,0.844397209100993,-2.58517992650237,0.00973281922868019,0.612418933004646
"hsa-let-7a-3p",1.00689193873812,-2.0609444106024,1.42225519882187,-1.44906793964233,0.147318610304252,0.777764151712484
"hsa-let-7a-5p",447.239051338434,-0.648679186678656,0.644757562074812,-1.00608232432548,0.314375970587104,0.777764151712484
"hsa-let-7b-3p",0.34428277925609,-1.42936330470119,1.77107969272635,-0.807057587849627,0.419633305632186,0.777764151712484
"hsa-let-7c-3p",0.0112224370946467,-2.66152391492083,4.49005652119405,-0.592759557114227,0.553342077189641,0.777764151712484
"hsa-let-7d-5p",176.7629709299,0.423129597344317,0.626316643006667,0.675584150714981,0.499304707097687,0.777764151712484
"hsa-let-7e-3p",0.0485968511766691,-2.43370072182192,4.48963041325731,-0.542071506517666,0.587769246697134,0.777764151712484
"hsa-let-7f-1-3p",0.106408786779,-2.24568005919045,3.30721192198818,-0.679025146305238,0.49712192897833,0.777764151712484
"hsa-let-7f-2-3p",0.0904840745207943,-2.61130514052641,3.85805402613247,-0.676845145982604,0.498504210670534,0.777764151712484
"hsa-let-7g-3p",0.465946181655809,-1.36008398601304,1.58909639031496,-0.855885139694686,0.392061315431713,0.777764151712484
"hsa-let-7g-5p",214.596101976906,0.467152985215483,0.623383259163827,0.74938327000006,0.453626231625005,0.777764151712484
"hsa-let-7i-3p",8.01616134385079,-0.680455983403049,0.727763793786724,-0.934995652727486,0.349790539809414,0.777764151712484
"hsa-let-7i-5p",3279.81284297349,0.439768606639716,0.431158333132192,1.01997009647239,0.307742643125509,0.777764151712484
"hsa-miR-101-2-5p",0.826020652191868,-1.98365380380517,1.33023804483859,-1.49120212844752,0.135908435041738,0.777764151712484
"hsa-miR-101-3p",231.330361621562,0.388299583327796,0.508039112550921,0.764310411806879,0.444682282174228,0.777764151712484
"hsa-miR-101-5p",0.0537354568792517,-2.86226197668464,4.48833072113902,-0.637711914410415,0.523661228340955,0.777764151712484
"hsa-miR-103a-1-5p",0.0692488273808861,-2.53682483138594,4.48981555651776,-0.565017604721712,0.572061789932254,0.777764151712484
"hsa-miR-103a-2-5p",0.10690591220124,-2.49379892927463,3.22063644627086,-0.774318669889666,0.438742365692285,0.777764151712484
"hsa-miR-103a-3p",545.702278464134,0.766409796468641,0.519354884462045,1.47569575139839,0.140025587028122,0.777764151712484
"hsa-miR-106b-5p",27.3560023767995,-0.398425220639184,0.539603071842003,-0.73836722107439,0.46029132791876,0.777764151712484
"hsa-miR-10a-3p",0.332389906680243,-1.26112752676718,1.95355784624786,-0.645554227733461,0.518568088533753,0.777764151712484
"hsa-miR-10b-5p",23.4470530664337,0.718868798450149,0.84430935390827,0.851428205932503,0.394531528965033,0.777764151712484
"hsa-miR-1179",0.391377779518165,-1.35104984864574,1.96681187241036,-0.686923781373157,0.492130759884829,0.777764151712484
"hsa-miR-1180-3p",99.6885554419375,-0.936836790210935,0.753593187116543,-1.24315984569278,0.21380893625584,0.777764151712484
"hsa-miR-1180-5p",0.0194570997931071,-2.58780719272871,4.48991174316888,-0.576360369814818,0.564371625419432,0.777764151712484
"hsa-miR-1185-1-3p",0.287326842820297,-1.61155580625149,2.31734183740046,-0.695432922429474,0.486784034378234,0.777764151712484
"hsa-miR-1185-2-3p",0.00230819160832292,-2.7570088416277,4.49022262690092,-0.614002705592027,0.5392135393251,0.777764151712484
"hsa-miR-1185-5p",0.00230819160832292,-2.7570088416277,4.49022262690092,-0.614002705592027,0.5392135393251,0.777764151712484
"hsa-miR-122-3p",0.152905108562596,-1.90201735798807,3.81357668138472,-0.498748948007895,0.617956256850526,0.777764151712484
"hsa-miR-1224-3p",0.0211251086010023,-2.56469465828847,4.48986774581264,-0.571218308307716,0.56785166920596,0.777764151712484
"hsa-miR-1225-5p",0.0276193301005129,-2.82218736728982,4.48915837892287,-0.628667364586719,0.529566848061091,0.777764151712484
"hsa-miR-1226-3p",0.292459390186645,-1.84143360486319,2.21972449685307,-0.829577547787489,0.406777675347335,0.777764151712484
"hsa-miR-1228-3p",2.40830748922934,-3.2316861388178,1.50728385200195,-2.14404614932053,0.0320291892237972,0.777764151712484
"hsa-miR-1228-5p",13.456888749024,-3.68822905616331,1.85868705288509,-1.98431954988784,0.0472202281310585,0.777764151712484
"hsa-miR-1229-3p",0.158729902465505,-2.38988970504487,4.25641195319332,-0.56147988759685,0.574470437357057,0.777764151712484
"hsa-miR-1229-5p",0.0105903490153996,-2.66794019025357,4.4900694497371,-0.594186842791437,0.552387151844746,0.777764151712484
"hsa-miR-1234-3p",0.211794097722631,-1.66542218218671,2.48363616731537,-0.670558032655367,0.50250212523807,0.777764151712484
"hsa-miR-1237-3p",0.133539909697949,-2.34458419583137,4.4894800885232,-0.522239579996135,0.601503531253172,0.777764151712484
"hsa-miR-124-3p",1.97016910199293,-2.0924976191302,2.20720467305366,-0.948030622024389,0.343113865261378,0.777764151712484
"hsa-miR-124-5p",0.0237231275777643,-2.59829672288176,4.48993192817642,-0.578694012391643,0.562795656842999,0.777764151712484
"hsa-miR-1246",2.52488055571111,-2.66332901652011,1.3946789922332,-1.90963585983002,0.0561801146139883,0.777764151712484
"hsa-miR-1250-5p",1.73679371563504,-2.23303429505715,1.60677188509381,-1.38976435657932,0.164600444933169,0.777764151712484
"hsa-miR-1251-5p",0.00461638321664585,-2.7313799659924,4.49018685646001,-0.608299844373464,0.542988624234471,0.777764151712484
"hsa-miR-1255a",0.0122197493326686,-2.65007768345511,4.49003358916626,-0.590213331554874,0.555047635402361,0.777764151712484
"hsa-miR-1255b-5p",10.6911444183835,1.29056135694387,1.13588915087289,1.13616839808015,0.255886093696229,0.777764151712484
"hsa-miR-1256",0.00594115994439609,-2.71815558373163,4.49016863231893,-0.60535712716158,0.544941731141086,0.777764151712484
"hsa-miR-125a-5p",170.161230164252,0.480419413757547,0.458813178757946,1.04709157452297,0.295057344878548,0.777764151712484
"hsa-miR-125b-1-3p",0.0993069857921527,-2.17697192213423,4.29988160558159,-0.506286479913388,0.612655552826782,0.777764151712484
"hsa-miR-125b-5p",116.466117290133,-0.774178737346345,0.468202934674517,-1.65351107396312,0.0982268942278881,0.777764151712484
"hsa-miR-126-3p",1489.43770085709,1.00114996746149,0.646512599057851,1.54853899045502,0.12149258182592,0.777764151712484
"hsa-miR-126-5p",243.063110930207,0.827960188857757,0.656365926992767,1.26143078854074,0.207153681404491,0.777764151712484
"hsa-miR-1260b",0.00923276643329169,-2.6809146587321,4.49009575579717,-0.59707293664523,0.550458685743262,0.777764151712484
"hsa-miR-1268b",0.34240952934056,-4.2205975556421,4.46933615718106,-0.94434551512996,0.344993114189583,0.777764151712484
"hsa-miR-1269a",0.0171489081847842,-2.61035633348343,4.48995530341654,-0.581376908473261,0.560986456914321,0.777764151712484
"hsa-miR-127-3p",34.4325109784389,-0.649985865464683,1.00781624099564,-0.644944821312414,0.518962944306937,0.777764151712484
"hsa-miR-127-5p",0.150635339596525,-2.1158104534034,3.04613933082169,-0.694587549556593,0.487313817022675,0.777764151712484
"hsa-miR-1270",0.442556362752291,-0.83842615868261,1.76400360453408,-0.475297304680996,0.634575079950223,0.777764151712484
"hsa-miR-1271-5p",0.0875522730327461,-2.06741823291013,3.47157849250935,-0.595526858278161,0.551491351361857,0.777764151712484
