"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-133a-3p",23.5057340331431,-4.32861404904271,1.30200411611624,-3.32457785306745,0.000885525058007355,0.594187313922935
"hsa-let-7a-3p",0.0283165655380398,-2.54989764525621,4.49181060087276,-0.5676770175396,0.570254299896979,0.722385345640182
"hsa-let-7b-3p",0.443516725346114,-1.1617283120564,1.53068756383386,-0.758958483432544,0.44787739234688,0.722385345640182
"hsa-let-7c-5p",3.95213914504018,1.70399726697798,0.983289959917728,1.73295501473497,0.0831036647665624,0.722385345640182
"hsa-let-7d-3p",3.02801538932562,-1.10709036249737,0.873750943541243,-1.26705484060529,0.205135681447121,0.722385345640182
"hsa-let-7d-5p",36.3727873833015,0.409354278042776,0.725523965973582,0.564218822866124,0.572605219252341,0.722385345640182
"hsa-let-7e-5p",2.46479873093384,1.3896066653953,1.36567969912413,1.01752018887482,0.308906033097078,0.722385345640182
"hsa-let-7f-1-3p",0.035491212964755,-2.48413244110299,4.49165440398231,-0.553055114592198,0.580225670814155,0.722385345640182
"hsa-let-7f-5p",47.2151950841879,0.48691177467002,0.804469194174604,0.605258446433859,0.545007286801225,0.722385345640182
"hsa-let-7i-5p",1003.81873201043,0.561583111384976,0.456353759201452,1.23058723646247,0.218477281333702,0.722385345640182
"hsa-miR-1-3p",14.5830794696015,-5.4984576797976,2.65964664453584,-2.06736398276591,0.0386998694185643,0.722385345640182
"hsa-miR-101-2-5p",0.44147740231275,-3.33044506433232,2.55746029518186,-1.30224702632011,0.192831954090261,0.722385345640182
"hsa-miR-103a-2-5p",0.0664909688233735,-2.31296312774721,4.26619505310021,-0.542160660485133,0.587707833265363,0.722385345640182
"hsa-miR-103a-3p",479.907812280208,0.245451197442698,0.438397046772578,0.559883327795382,0.575559021425774,0.722385345640182
"hsa-miR-103b",479.907812280208,0.245451197442698,0.438397046772578,0.559883327795382,0.575559021425774,0.722385345640182
"hsa-miR-10527-5p",2.12950133917929,-2.24247721323418,1.18355908367571,-1.89468970680352,0.0581335222122888,0.722385345640182
"hsa-miR-10b-5p",7.05173341780365,0.941316281818582,1.01896411225013,0.923797286383249,0.355591868305029,0.722385345640182
"hsa-miR-11401",0.409701100678137,-1.51979286220749,2.63895756140731,-0.575906518707716,0.564678369245095,0.722385345640182
"hsa-miR-1179",0.360932680055886,-1.72312926549482,1.95024685485423,-0.883544183755964,0.376942321175934,0.722385345640182
"hsa-miR-1185-1-3p",0.0859118630780019,-2.16806698843578,4.0621413097807,-0.533725152105265,0.593531704724103,0.722385345640182
"hsa-miR-1185-2-3p",0.00182915898980574,-2.79810719011928,4.49218972277971,-0.622882683678784,0.533361618085026,0.722385345640182
"hsa-miR-12114",0.00365831797961148,-2.77678426896926,4.49215698313827,-0.618140523448353,0.536482711902032,0.722385345640182
"hsa-miR-122-3p",0.0279241203314585,-2.54364919203568,4.491798054667,-0.566287522519587,0.571198341098308,0.722385345640182
