,miRNA,70459-genome-miRNAcount,miRNA,70460-genome-miRNAcount,miRNA,70461-genome-miRNAcount,miRNA,74665-genome-miRNAcount,miRNA,74666-genome-miRNAcount,miRNA,74667-genome-miRNAcount,miRNA,74668-genome-miRNAcount,miRNA,74669-genome-miRNAcount,miRNA,74670-genome-miRNAcount,miRNA,74671-genome-miRNAcount,miRNA,74672-genome-miRNAcount,miRNA,74673-genome-miRNAcount,miRNA,74674-genome-miRNAcount,miRNA,74675-genome-miRNAcount,miRNA,74676-genome-miRNAcount,miRNA,74677-genome-miRNAcount,miRNA,74678-genome-miRNAcount,miRNA,74679-genome-miRNAcount,miRNA,74680-genome-miRNAcount,miRNA,74681-genome-miRNAcount,miRNA,74682-genome-miRNAcount
0,hsa-let-7a-2-3p,0,       0,,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0,hsa-let-7a-2-3p,0
1,hsa-let-7a-3p,0,       0,hsa-let-7a-2-3p,hsa-let-7a-3p,0,hsa-let-7a-3p,1,hsa-let-7a-3p,0,hsa-let-7a-3p,1,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,1,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0,hsa-let-7a-3p,0
2,hsa-let-7a-5p,0,       0,hsa-let-7a-5p,hsa-let-7a-5p,1,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,6,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,27,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,1,hsa-let-7a-5p,3,hsa-let-7a-5p,0,hsa-let-7a-5p,27,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,0,hsa-let-7a-5p,0
3,hsa-let-7b-3p,0,       0,hsa-let-7b-5p,hsa-let-7b-3p,0,hsa-let-7b-3p,0,hsa-let-7b-3p,0,hsa-let-7b-3p,4,hsa-let-7b-3p,1,hsa-let-7b-3p,0,hsa-let-7b-3p,1,hsa-let-7b-3p,2,hsa-let-7b-3p,0,hsa-let-7b-3p,1,hsa-let-7b-3p,0,hsa-let-7b-3p,7,hsa-let-7b-3p,0,hsa-let-7b-3p,17,hsa-let-7b-3p,2,hsa-let-7b-3p,2,hsa-let-7b-3p,2,hsa-let-7b-3p,0,hsa-let-7b-3p,0
4,hsa-let-7b-5p,0,       0,hsa-let-7d-5p,hsa-let-7b-5p,199,hsa-let-7b-3p,1,hsa-let-7b-5p,19,hsa-let-7b-3p,6,hsa-let-7b-5p,232,hsa-let-7b-5p,111,hsa-let-7b-5p,409,hsa-let-7b-3p,5,hsa-let-7b-5p,19,hsa-let-7b-3p,2,hsa-let-7b-3p,2,hsa-let-7b-3p,11,hsa-let-7b-5p,235,hsa-let-7b-3p,25,hsa-let-7b-5p,320,hsa-let-7b-3p,6,hsa-let-7b-5p,1363,hsa-let-7b-5p,411,hsa-let-7b-5p,493
5,hsa-let-7b-5p,62,       0,hsa-let-7f-2-3p,hsa-let-7b-5p,577,hsa-let-7b-5p,433,hsa-let-7b-5p,58,hsa-let-7b-5p,1660,hsa-let-7b-5p,942,hsa-let-7b-5p,555,hsa-let-7b-5p,1330,hsa-let-7b-5p,4349,hsa-let-7b-5p,60,hsa-let-7b-5p,120,hsa-let-7b-5p,349,hsa-let-7b-5p,658,hsa-let-7b-5p,979,hsa-let-7b-5p,4902,hsa-let-7b-5p,1228,hsa-let-7b-5p,776,hsa-let-7b-5p,4530,hsa-let-7b-5p,1336,hsa-let-7b-5p,1440
6,hsa-let-7b-5p,195,       0,hsa-let-7f-5p,hsa-let-7c-3p,0,hsa-let-7b-5p,2001,hsa-let-7c-3p,0,hsa-let-7b-5p,8577,hsa-let-7c-3p,0,hsa-let-7c-3p,0,hsa-let-7c-3p,0,hsa-let-7b-5p,15835,hsa-let-7c-3p,0,hsa-let-7b-5p,701,hsa-let-7b-5p,1078,hsa-let-7b-5p,5639,hsa-let-7c-3p,0,hsa-let-7b-5p,21410,hsa-let-7c-3p,0,hsa-let-7b-5p,2913,hsa-let-7c-3p,0,hsa-let-7c-3p,0,hsa-let-7c-3p,0
7,hsa-let-7c-3p,0,       0,hsa-let-7g-3p,hsa-let-7c-5p,1,hsa-let-7c-3p,0,hsa-let-7c-5p,2,hsa-let-7c-3p,0,hsa-let-7c-5p,7,hsa-let-7c-5p,0,hsa-let-7c-5p,9,hsa-let-7c-3p,0,hsa-let-7c-5p,0,hsa-let-7c-3p,0,hsa-let-7c-3p,0,hsa-let-7c-3p,0,hsa-let-7c-5p,5,hsa-let-7c-3p,0,hsa-let-7c-5p,7,hsa-let-7c-3p,0,hsa-let-7c-5p,14,hsa-let-7c-5p,3,hsa-let-7c-5p,9
8,hsa-let-7c-5p,0,       0,hsa-let-7g-5p,hsa-let-7c-5p,16,hsa-let-7c-5p,3,hsa-let-7c-5p,4,hsa-let-7c-3p,1,hsa-let-7c-5p,34,hsa-let-7c-5p,6,hsa-let-7c-5p,40,hsa-let-7c-5p,55,hsa-let-7d-3p,0,hsa-let-7c-5p,3,hsa-let-7c-5p,4,hsa-let-7c-3p,1,hsa-let-7c-5p,8,hsa-let-7c-5p,48,hsa-let-7c-5p,25,hsa-let-7c-5p,13,hsa-let-7c-5p,75,hsa-let-7c-5p,13,hsa-let-7c-5p,57
9,hsa-let-7c-5p,1,       0,hsa-let-7i-5p,hsa-let-7d-3p,1,hsa-let-7c-5p,11,hsa-let-7d-3p,0,hsa-let-7c-5p,18,hsa-let-7d-3p,3,hsa-let-7d-3p,0,hsa-let-7d-3p,5,hsa-let-7c-5p,181,hsa-let-7d-3p,1,hsa-let-7c-5p,11,hsa-let-7c-5p,17,hsa-let-7c-5p,13,hsa-let-7d-3p,0,hsa-let-7c-5p,201,hsa-let-7d-3p,2,hsa-let-7c-5p,35,hsa-let-7d-3p,9,hsa-let-7d-3p,3,hsa-let-7d-3p,2
