"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7c-5p",3.95213914504018,1.70399726697798,0.983289959917728,1.73295501473497,0.0831036647665624,0.722385345640182
"hsa-miR-190a-5p",40.696918747138,1.56682637117009,0.812358006675731,1.92873875593563,0.0537633023241755,0.722385345640182
"hsa-miR-26b-5p",336.352789873851,1.4714347420424,0.582675882485236,2.52530572531408,0.0115597676212996,0.722385345640182
"hsa-miR-382-5p",9.11305789823922,1.44397657764799,1.1912706398674,1.21213142448362,0.225462076391705,0.722385345640182
"hsa-let-7e-5p",2.46479873093384,1.3896066653953,1.36567969912413,1.01752018887482,0.308906033097078,0.722385345640182
"hsa-miR-99b-5p",6.17799125363505,1.38414385727043,1.1641475780706,1.18897628045101,0.234449000913396,0.722385345640182
"hsa-miR-3913-3p",4.38473718797855,1.24987476349448,1.22867637972142,1.01725302457419,0.309033077254341,0.722385345640182
"hsa-miR-3913-5p",4.38473718797855,1.24987476349448,1.22867637972142,1.01725302457419,0.309033077254341,0.722385345640182
"hsa-miR-30e-3p",3.77171774395846,1.24473625752153,1.20484082203912,1.03311261932086,0.301551198457206,0.722385345640182
"hsa-miR-181b-5p",19.8587940957147,1.23498258878237,0.758027777900995,1.62920492465603,0.103269644801408,0.722385345640182
